id|Kanji|Strokes|"Name of Radical"|"Radical Freq."|"Reading within Joyo"|"Reading beyond Joyo"|"On within Joyo"|"Translation of On"|"Kun within Joyo"|"Translation of Kun"|"Kanji Frequency with Proper Nouns"
1107|生|5|Umareru|2|セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま|な|"sei, 	shoo"|"birth; life, existence, living; subsistence; student "|"i(kiru), i(kasu), i(keru), u(mareru), u(mu), o(u), ha(eru), ha(yasu), ki, nama"|"grow, spring up; cut (teeth). cultivate, wear (a beard). revive, resuscitate; restore to life; let live, spare a life; make the most of; give life to; stet. keep alive; arrange flowers (in a vase); living. live, subsist, exist; be enlivened; be safe (on first). be born. bear, give birth to, breed, spawn; produce, yield (interest). raw, uncooked, fresh; unripe; half-boiled; rare; hard cash; impertinent, conceited; inexperienced; (beer) on tap; crude (rubber), unprocessed. pure, undiluted, genuine; raw, crude "|784409
863|手|4|Te|6|シュ、て、[た]|ズ|shu|"hand, arm; help; handwriting; handle, means; trick, snare; skill; kind; direction, side; trouble, care; control, management; possession; connection; injury"|"te, [ta]"|"hand, arm; help; handwriting; handle, means; trick, snare; skill; kind; direction, side; trouble, care; control, management; possession; connection; injury"|761851
603|行|6|Gyoogamae|6|コウ、ギョウ、[アン]、い-く、ゆ-く、おこな-う||"koo, 	gyoo, [an]"|"party, suite; journey; expedition; line, row. religious austerities. "|"i(ku), yu(ku), okona(u)"|"go; run (water). do, act, conduct oneself; carry out; perform, conduct (school); exercise (control); hold (a ceremony) "|750313
580|後|9|Gyooninben|19|ゴ、コウ、のち、うし-ろ、あと、おく-れる||"go, 	koo"|"back, rear, behind"|"nochi, ushi(ro), ato, oku(reru)"|"after, since then; future; after one's death. back, rear, behind. results; remainder, sequel; posterity; successor; survivor; effect, influence; estate. be late, be delayed, be overdue; lag behind; (clocks) lose"|748246
652|合|6|"Kuchi, Kuchihen"|70|ゴウ、ガッ、[カッ]、あ-う、あ-わす、あ-わせる|コウ|"goo, gaQ, [kaQ]"|one-tenth|"a(u), a(wasu), a(waseru)"|"fit, suit; agree with, match, be correct; pay, be profitable. join together; be opposite, face; unite, combine, connect; add up; mix; match; overlap; compare; check with "|727812
1649|発|9|Hatsugashira|2|ハツ、ホツ||"hatsu, 	hotsu"|"departure; discharge (of a gun)"|-|-|721803
842|社|7|"Shimesu, Shimesuhen"|15|シャ、やしろ||sha|"Shinto shrine; association; firm, company, office "|yashiro|"Shinto shrine"|720650
516|見|7|Miru|7|ケン、み-る、み-える、み-せる|まみ、ら|ken|"hopes, chances; ideas, opinion"|"mi(ru), mi(eru), mi(seru)"|"see, look at, witness, observe; regard as; sightsee; look through; examine; consult (a lexicon); tell (one’s future); estimate; care for; try, test; be seen, be visible, be in sight; look like, seem, appear; come, show up; be found"|719042
1197|前|9|"Katana, Rittoo"|32|ゼン、まえ|セン、さき、ざき|zen|before|mae|"front, fore part; head (of a line); presence; ago, before; previously; (five minutes) to "|718328
1504|東|8|"Ki, Kihen"|85|トウ、ひがし|あずま|too|east|higashi|east|710300
173|回|6|Kunigamae|12|カイ、[エ]、まわ-る、まわ-す|めぐ|"kai, [e]"|"time; round, game, bout, heat, inning, innings; go around"|"mawa(ru), mawa(su)"|"and, turn, go around; revolve, rotate, spin, gyrate; patrol, tour; take effect (medicine); be distributed; be past (time); be transferred; circularize; pass around; forward, transmit; refer to; transfer; lend money"|680362
1480|田|5|"Ta, Tahen"|19|デン、た|かり、がり|den|"rice field, paddy field"|ta|"rice field, paddy field"|678926
1117|政|9|Nobun|16|セイ、[ショウ]、まつりごと|ただ|"sei, [shoo]"|"government, rule"|matsurigoto|"government, rule"|673588
628|高|10|Takai|1|コウ、たか-い、たか、たか-まる、たか-める||koo|high|"taka(i), taka, taka(maru), taka(meru)"|"high, tall, lofty, raised, elevated, eminent; exalted, noble; loud, stentorian; expensive; widely known. quantity, volume, amount, sum; rise (in prices); fief. rise; swell; be elevated, be promoted; increase. raise, lift, promote, elevate; improve, enhance; ennoble; heighten; boost "|666356
1065|新|13|"Kin, Onozukuri"|5|シン、あたら-しい、あら-た、にい||shin|"newness, novelty. new, modern, novel, fresh, neo-"|"atara(shii), ara(ta), nii"|"new, novel, fresh, recent, modern"|659987
768|市|5|"Haba, Kinben"|17|シ、いち|か、が|shi|"city, town; market"|ichi|"market; fair"|658374
1192|選|15|Shinnyoo|51|セン、えら-ぶ||sen|"selection, choice"|era(bu)|"select, choose; cull out; elect; prefer; decide on "|653237
1020|場|12|"Tsuchi, Tsuchihen"|50|ジョウ、ば||joo|"place, grounds, links, range, course, track, ring"|ba|"place, site; space, seat; scene; occasion, situation"|643257
226|学|8|"Ko, Kohen"|9|ガク、まな-ぶ||gaku|"learning, study, science, scholarship, erudition"|mana(bu)|"learn, study"|634688
1918|民|5|Uji|2|ミン、たみ||min|"people, nation, subjects"|tami|"people, nation, subjects"|634153
1718|表|8|"Koromo, Koromohen"|21|ヒョウ、おもて、あらわ-す、あらわ-れる||hyoo|"table, schedule, diagram, chart, list "|"omote, arawa(su), arawa(reru)"|"express, show, manifest. appear, emerge, come in sight, show up; be revealed, be discovered, be mentioned; become famous. surface, right side, face; exterior, outside; front; the street; mat covers; head (of a coin); first half (of an inning) "|629796
1355|地|6|"Tsuchi, Tsuchihen"|50|チ、ジ||"chi, 	ji"|"earth, land, ground, the surface of the earth; soil; place, region; territory; room, space; position; site; foundation. texture, weave, fabric; field (of a flag); disposition; respectability; accompaniment; narrative part; fact"|-|-|627071
1928|明|8|"Nichi, Nichihen"|38|メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす|ミン|"mei, 	myoo"|"clearness, shining; eyesight; discernment. next (week), tomorrow (morning) "|"a(kari), aka(rui), aka(rumu), aka(ramu), aki(raka), a(keru), a(ku), a(kuru), a(kasu)"|"open; empty, vacate; leave (a space); clear (the table); make (a hole); reserve (a seat), stay away from; dawn; end, expire, be over; open, begin. be opened; start, commence; become vacant, become empty, be disengaged, be free; expire, be over. spend, pass the time; reveal, divulge. light, lamp; vindication. bright, cheerful, sunny; clear, clean; conversant with. plain, distinct, definite, obvious, indisputable, evident. next, following "|626629
1761|部|11|Oozato|12|ブ|フ、わ、べ|bu|"department, bureau, section; faculty; division, class, category; part, portion, region; copy, volume, set"|-|-|626282
270|間|12|Mongamae|11|カン、ケン、あいだ、ま|あ、か、い|"kan, 	ken"|"interval; space; between; among; discord; favorable opportunity; six feet"|"aida, ma"|"space, interval, gap; between, among; midway; on the way; distance; time, period; relationship; room; pause; rest (in music); a while; leisure; luck; timing, harmony"|625322
422|業|13|"Ki, Kihen"|85|ギョウ、ゴウ、わざ||"gyoo, 	goo"|"vocation, occupation, business, trade, profession; industry; undertaking; studies; arts; conduct, act; service; achievement"|waza|"deed, act, work, art, trick, performance"|606730
1294|対|7|Sun|12|タイ、ツイ||"tai, 	tsui"|"the opposite; antonym; even, equal; versus; (score of three) to (one); counter-, anti-, versus. pair, couple, set "|-|-|599540
1181|戦|13|"Hokogamae, Hokozukuri"|7|セン、いくさ、たたか-う|おのの|sen|"war; battle; game, match"|"ikusa, tataka(u)"|"wage war; fight; engage in a contest; struggle against. war, fight, battle, encounter "|594059
432|金|8|"Kane, Kanehen"|33|キン、コン、かね、[かな]|こがね|"kin, 	kon"|"gold; money; Friday"|"kane, [kana]"|"money, metal"|589350
1829|方|4|"Hoo, Hoohen"|6|ホウ、かた|まさ、あ|hoo|"direction, way; side; part; square; way, method, means, scheme, process "|kata|"direction; settlement; person"|583222
1570|内|4|"Hito, Ninben, Hitoyane"|104|ナイ、[ダイ]、うち|ノウ、い|"nai, [dai]"|"inside, interior, within, between, among. within, within the scope of "|uchi|"inside, interior; house, home; within; between, among, out of; mind; myself. inner "|577184
1441|定|8|Ukanmuri|36|テイ、ジョウ、さだ-める、さだ-まる、さだ-か||"tei, 	joo"|"deciding. be decided, be settled, quiet down"|"sada(meru), sada(maru), sada(ka)"|"be decided, be settled, quiet down. establish, lay down, stipulate; decide, determine; appoint, set (a date); pacify. sure, positive; accurate; reliable; sound, firm; clear, evident; genuine; able, competent; sober, sane; I think; if I remember right"|573023
1584|入|2|Iru|1|ニュウ、い-る、い-れる、はい-る|ジュ、しお|nyuu|"go in, come in; flow into; set; set in "|"i(ru), i(reru), hai(ru)"|"go in, come in; flow into; set; set in. put in, take in, bring in, let in, admit, introduce, commit (to prison), usher in; insert; set (jewels); employ; listen to; tolerate, comprehend; include; pay (interest); cast (votes). enter; break into; join; enroll; contain, hold; accommodate; have (an income of) "|569966
1223|相|9|"Me, Mehen"|19|ソウ、ショウ、あい||"soo, 	shoo"|"aspect, phase, physiognomy. minister of state, councilor"|ai|"together, each other; mutually, reciprocally; fellow-; emphatic vebal prefix"|568804
1801|米|6|"Kome, Komehen"|10|ベイ、マイ、こめ|よね|"bei, 	mai"|"rice, U.S.A."|kome|rice|567851
987|勝|12|Chikara|23|ショウ、か-つ、まさ-る|すぐ、た|shoo|"victory, beauty spot"|"ka(tsu), masa(ru)"|"win; prevail, predominate, surpass. excel, surpass, outrival "|562597
349|議|20|"Gon, Gonben"|68|ギ||gi|"consultation, deliberation, debate; consideration, proposal, suggestion"|-|-|557609
1313|代|5|"Hito, Ninben, Hitoyane"|104|ダイ、タイ、か-わる、か-える、よ、しろ||"dai, 	tai"|"period, age, generation; charge, rate, fee, cost, price"|"ka(waru), ka(eru), yo, shiro"|"world, society, public; life, existence, career, lifetime; age, era, generation, times; reign. change, turn, convert, exchange, renew, substitute, replace. relieve. price; substitution"|549569
51|員|10|"Kuchi, Kuchihen"|70|イン||in|"member; number; the one in charge"|-|-|545063
1460|的|8|Shiro|5|テキ、まと||teki|"mark, target; object; the point. adjective ending"|mato|"mark, target; object; the point"|538548
670|今|4|"Hito, Ninben, Hitoyane"|104|コン、キン、いま||"kon, 	kin"|"now, the present; the coming; this "|ima|"now, present time; just now, soon, immediately; (one) more "|538441
398|京|8|Nabebuta|5|キョウ、ケイ|キン|"kyoo, 	kei"|"ten quadrillion; captital, metropolis; Kyoto"|-|-|527226
1954|野|11|"Sato, Satohen"|4|ヤ、の||ya|"field, plain; the Opposition; civilian life; rustic"|no|"field, plain"|522054
2106|連|10|Shinnyoo|51|レン、つら-なる、つら-ねる、つ-れる||ren|"ream; set; party, company, gang, clique; series counter "|"tsura(naru), tsura(neru), tsu(reru)"|"range, be connected with, join; stand in a row; attend; join one's people (in death). put in a row. take (someone) along"|515353
723|作|7|"Hito, Ninben, Hitoyane"|104|サク、サ、つく-る||"saku, 	sa"|"a work, a production; tillage; harvest; ridge (in a field) "|tsuku(ru)|"a work, a production; tillage; harvest; ridge (in a field) "|513294
509|決|7|"Mizu, Sanzui, Shitamizu"|118|ケツ、き-める、き-まる||ketsu|"decision, vote"|"ki(meru), ki(maru)"|"fix, decide, agree upon; appoint, choose; resolve; be decided, be settled, be arranged; be certain to, be doomed to"|512014
1947|目|5|"Me, Mehen"|19|モク、[ボク]、め、[ま]||"moku, [boku]"|"item, division, class; order (of plants or animals)"|"me, [ma]"|"eye; look, gaze; notice, attention; viewpoint; discrimination, insight; experience; treatment; care, favor, pity; texture, weave; mesh; grain, square; sight, vision; tooth (of a saw); weight; momme (0.1325 oz.); eye (of a needle) "|510537
552|現|11|"Tama, Oo"|15|ゲン、あらわ-れる、あらわ-す|うつつ|gen|"present, exciting, actual"|"arawa(reru), arawa(su)"|"appear, emerge, come in sight, show up; be revealed, be discovered; be mentioned; become famous. show, indicate, display, prove, disclose, express; represent; distinguish oneself"|506680
2045|立|5|Tatsu|5|リツ、[リュウ]、た-つ、た-てる||"ritsu, [ryuu]"|standing|"ta(tsu), ta(teru)"|"stand, rise; rouse oneself; be built, be established; go up (smoke); burn out; depart; take flight; run high (waves); stick into; be worked out; be maintained; save (face); establish oneself, begin life; spread (rumors); shut (door); be active; open (markets); be excited; come (seasons); makes (a total of thirty). stand something up, set up, raise; put up; set on edge; prick up (one's ears); build, erect; close (a door); establish; institute, enact; lay (plans); map out; set forth, lay down (a proposition); formulate; render (services), perform; look up to, respect; be loyal to; do justice to; circulate (rumors); have (an aim); establish (oneself), make (a success); support (oneself); make (an oath); sharpen, set (a saw); put up (a candidate); make (tea); save (face) "|502495
87|円|4|Doogamae|3|エン、まる-い|まど|en|"circle; yen"|maru(i)|"round, circular, spherical"|500580
745|山|3|"Yama, Yamahen"|16|サン、やま|セン、ゼン|san|"mount, mountain"|yama|"mountain, hill, height, knoll; heap, pile; crown (of a hat); seam (of an obi); speculation, adventure; climax, acme, crisis; forest; mine "|498242
1514|党|10|Shoo|5|トウ||too|"party, faction, clique; companions"|-|-|495041
959|小|3|Shoo|5|ショウ、ちい-さい、こ、お||shoo|"smallness; minor; small. humility prefix, small "|"chii(sai), ko, o"|"small, little, diminutive, minute, fine, trivial. short; pretty; petty; nearly. nice"|493785
187|開|12|Mongamae|11|カイ、ひら-く、ひら-ける、あ-く、あ-ける||kai|opening|"hira(ku), hira(keru), a(ku), a(keru)"|"open, unfold, unroll, uncover, unpack, untie, unseal; establish; clear (land); pioneer; clear the way; convene; enlighten ( a country); bloom; differ, have a margin; widen (the space between); become civilized, become modernized; become sensible; be opened to traffic; feel relief; be open; grow, develop (a town); start, commence; become vacant, become empty, be disengaged, be free; empty, vacate; leave (a space); clear (the table); make (a hole); reserve (a seat), stay away from; dawn; end, expire, be over; begin"|492614
2074|力|2|Chikara|23|リョク、リキ、ちから|つと|"ryoku, 	riki"|"strain, bear up, exert one's strength; swagger, bluff, boast. strength. power"|chikara|"strength, energy, force, might, power; agency; authority, influence; vigor; stress, emphasis; exertions, endeavors; efficacy; help, support, good offices; ability, faculty, capability, attainment; means, resources "|489194
864|主|5|Ten|4|シュ、[ス]、ぬし、おも|あるじ|"shu, [su]"|"Lord; lord, master, employer; aim; main thing "|"nushi, omo"|"owner; master, husband; lover; a god; you. main  "|478885
279|関|14|Mongamae|11|カン、せき、かか-わる||kan|"barrier, gateway"|"seki, kaka(waru)"|"concern oneself in, have to do with; affect, influence; stick to (opinions); barrier, checking station"|471196
1196|全|6|"Hito, Ninben, Hitoyane"|104|ゼン、まった-く、すべ-て|まっと|zen|all|"matta(ku), sube(te)"|"entirely, completely, wholly, perfectly; truly, indeed. "|462041
132|化|4|Hi|2|カ、ケ、ば-ける、ば-かす||"ka, 	ke"|"influence; bewitch, enchant, confuse, delude"|"ba(keru), ba(kasu)"|" bewitch, enchant, confuse, delude; appear in disguise"|450696
1114|性|8|"Kokoro, Risshinben, Shitagokoro"|76|セイ、ショウ||"sei, 	shoo"|"sex, gender; nature, attribute. deposition; quality; purity"|-|-|450195
536|権|15|"Ki, Kihen"|85|ケン、[ゴン]||"ken, [gon]"|"authority, power, rights, concession"|-|-|446386
1837|法|8|"Mizu, Sanzui, Shitamizu"|118|ホウ、[ハッ]、[ホッ]|のっと、のり|"hoo, [haQ], [hoQ]"|"law, rule, principle; legislation, regulation; code; method, way, model, manner, system, process, art, technique; rites, religion, doctrine; reason; mood (of verbs) "|-|-|440454
1295|体|7|"Hito, Ninben, Hitoyane"|104|タイ、テイ、からだ||"tai, 	tei"|"the body; substance, object; reality; style, form; image counter. appearance, air; condition, state"|karada|"body, health"|440216
839|実|8|Ukanmuri|36|ジツ、み、みの-る||jitsu|"truth, reality; sincerity, fidelity; kindness; faith; substance, essence "|"mi, mino(ru)"|"ripen; bear fruit. seed, berry, nut, fruit; substance, contents; ingredients; (soup) stock "|436044
1951|問|11|"Kuchi, Kuchihen"|70|モン、と-う、と-い、[とん]||mon|"question, problem, subject, discussion "|"to(u), to(i), [ton]"|"ask, question, inquire; accuse. Inquiry"|433896
1501|当|6|Shoo|5|トウ、あ-たる、あ-てる||too|"right, appropriateness, fairness; himself; itself; at the time "|"a(taru), a(teru)"|"hit, strike, dash into; touch; shine on; guess right, be fulfilled; succeed; confront; lie (to the south); treat; fell out; undertake; be worth; correspond to; be related to; apply to; draw (a prize); be assigned to; be affected by; be spoiling; be exposed to; warm oneself; shave; grind; this coming (15th); turn out well; take well; be punished (by heaven); stand to reason; deal with; engage (the enemy); need not to (with negative); have (one's turn); be charged with. apply, place, put; hit (the mark); guess; succeed; expose to; sit (on a cushion); assign, allocate; call on (a pupil) "|429512
708|最|12|Hirabi|8|サイ、もっと-も||sai|most|motto(mo)|most|428924
2038|理|11|"Tama, Oo"|15|リ||ri|"reason, justice, truth, principle"|-|-|422771
1539|動|11|Chikara|23|ドウ、うご-く、うご-かす||doo|"motion; change; confusion"|"ugo(ku), ugo(kasu)"|"move, stir, shift, shake, swing; operate, run, go, work; be touched, be influenced, waver, fluctuate, vary, change, be transferred. set in motion, inspire, rouse, influence; mobilize; deny "|420292
521|県|9|"Me, Mehen"|19|ケン|あがた、か、が|ken|"prefecture; district (in China)"|-|-|414131
867|取|8|Mata|9|シュ、と-る|ス|shu|"take, hold, seize, catch, capture; fetch; receive, procure, obtain; adopt (a measure); engage (graduates); choose; order (foodstuffs); pick, pluck; make, produce; eat; set up (camp); charge; administer; transact; take (pains); make out (the meaning); remove; take off (one's hat); take out (spots); strike out (words); weed, catch (fish); deprive of; steal; capture (territory), annex; need, require; reserve (rooms); subscribe to; press (a point home); take (a picture); possess"|to(ru)|"take, hold, seize, catch, capture; fetch; receive, procure, obtain; adopt (a measure); engage (graduates); choose; order (foodstuffs); pick, pluck; make, produce; eat; set up (camp); charge; administer; transact; take (pains); make out (the meaning); remove; take off (one's hat); take out (spots); strike out (words); weed, catch (fish); deprive of; steal; capture (territory), annex; need, require; reserve (rooms); subscribe to; press (a point home); take (a picture); possess"|410712
1958|約|9|"Ito, Itohen"|63|ヤク||yaku|"promise, vow; approximately; abridgment"|-|-|410379
1906|万|3|Ichi|14|マン、バン|よろず|"man, 	ban"|"ten thousand; myriad. fully; if by any chance"|-|-|409412
1430|通|10|Shinnyoo|51|ツウ、[ツ]、とお-る、とお-す、かよ-う|ドウ|"tsuu, [tsu]"|"pass; expert"|"too(ru), too(su), kayo(u)"|"walk along, pass by; pass through; pass (exams); be knows as; be admissible; come in; be understood; reach; draw (on a piece); drain (as a sink); be consistent. let (someone) pass; pass (something) through; make way for; let in, admit; usher in; cut through; pierce; permeate, penetrate; carry one's point; persist in; look over (a book); keep on doing, continue; pose as; pass (a law); order (a meal). commute; attend (school); ply between; frequent (a place); go (for treatments); circulate; breathe; be charged with "|409067
548|言|7|"Gon, Gonben"|68|ゲン、ゴン、い-う、こと||"gen, 	gon"|"word; phrase; speech; statement"|"i(u), koto"|"say, tell, talk, speak, declare; call, term, name.word"|408709
1496|度|9|Madare|17|ド、[ト]、[タク]、たび|わた、た|"do, [to], [taku]"|"degree; extent, measure, limit; a time; graduation, scale; composure. save, redeem, reclaim "|tabi|"time, occasion; repetition "|400271
1921|務|11|Chikara|23|ム、つと-める、つと-まる||mu|"serve, fill a post, serve under; exert oneself, endeavor, work, be diligent; play (the part of) "|"tsuto(meru), tsuto(maru)"|"serve, fill a post, serve under; exert oneself, endeavor, work, be diligent; play (the part of) "|396197
197|外|5|Yuube|5|ガイ、ゲ、そと、ほか、はず-す、はず-れる|ウイ|"gai, 	ge"|"outside, without, beside, beyond the scope off"|"soto, hoka, ha(zusu), hazu(reru)"|"outside, exterior, open air; some other place; outside; the rest; take off, remove, unfasten, undo, detach, disconnect, put out off gear; miss, fail; avoid, evade, dodge; be off, come off, be or get out of place, be out of gear, run off the track, slip out or off, be dislocated, be disconnected, be off the hook (a phone), be unbuttoned, be unzipped"|396147
131|下|3|Ichi|14|カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる||"ka, 	ge"|"low class; inferiority; second, or last volume"|"shita, shimo, moto, sa(geru), sa(garu), kuda(ru), kuda(su), kuda(saru), o(rosu), o(riru)"|"come down, go down; get down, descend; be given; be less than; have diarrhea; retire; leave the capital; give, confer; oblige, favor with; let down, lower; issue (orders); hand down (decisions); have diarrhea; lay (hands) on; step down; get off; swoop down; land; take down, pull down, lift down, drop; launch; let off (passengers); wear (for the first time); cause (abortion); grate; invoke; exercise; borrow (in subtraction); lock; hang down, dangle; fall; abate; wane; stand back; go behind; be granted; hang; wear (a decoration); reduce (rank); move back; let go, dismiss; remove; grant; draw (money), withdraw; lower part, bottom, base, foot; downstairs; subordinate place; below average; part payment; under, lower; sub-, subordinate; preliminary; the foot; lower stream; latter; lower part of the body; the masses, the servants; the governed; vicinity"|390613
147|家|10|Ukanmuri|36|カ、ケ、いえ、や||"ka, 	ke"|house|"ie, ya"|"house, home, residence; housing; family, household; family name; fortune; shop, store, seller; dealer"|390197
1786|文|4|Bun|2|ブン、モン、ふみ|あや、もじ|"bun, 	mon"|"1/100 of a hyakume; crest; figures. literary text, production, composition; sentence; style; literature, art; the pen; civil affairs; decoration; characters; elegance "|fumi|"letter, note"|388966
305|気|6|Kigamae|1|キ、ケ|いき|"ki, 	ke"|"spirit, mind, soul, heart; intention; bent, interest; mood, feeling; temper, disposition, nature; care, attention; air, atmosphere; flavor; odor; energy, essence; indications, symptoms; taste; touch, dash, shade, trace; spark, flash; suspicion"|-|-|387806
1167|川|3|Magarigawa|3|セン、かわ||sen|"river, stream, brook"|kawa|"river, stream, brook"|385851
1415|調|15|"Gon, Gonben"|68|チョウ、しら-べる、ととの-う、ととの-える|つき|choo|"tune, tone, meter; key (in music); style of writing; tax in kind "|"shira(beru), totono(u), totono(eru)"|"test, examine, investigate, survey, check up; inspect, overhaul; search for; look up (a word); refer to (a book); interrogate; correct (papers); play (on an instrument). prepare, arrange; fill (orders); supply; raise (money); put in order, tidy up, adjust (clothes); regulate; settle; purchase. be prepared, be arranged, be in order, be adjusted, be well regulated; be settled "|380533
589|公|4|Hachi|8|コウ、おおやけ|ク、グ、きみ|koo|"public, duke, lord; public"|ooyake|"public, open; official, governmental; formal"|380111
